"","ano","municipio","populacao","homicidio","gastos_educacao","renda_setor_formal","gastos_seguranca_publica"
"281",2017,"Salinas",41262,9.69,322.49,1499.3,8.39
"282",2017,"Mateus Leme",30372,36.22,545.62,1865.02,3.64
"283",2017,"Virgolândia",5557,35.99,512.35,1414.37,6.58
"284",2017,"Janaúba",70937,50.75,578.74,1605.84,3.61
"285",2017,"Alvinópolis",15443,6.48,422.61,1606.46,2.92
"286",2017,"José Raydan",4845,41.28,557.46,1216.3,4.43
"287",2017,"Itamarandiba",34315,8.74,519.34,1415.36,2.86
"288",2017,"Cambuquira",12923,7.74,495.38,1329.86,2.34
"289",2017,"Santa Maria de Itabira",10897,18.35,525.41,1385.68,6.54
"290",2017,"Canápolis",11996,8.34,408.03,1509.4,3.67
"291",2017,"Vazante",20577,4.86,470.02,2365.26,1.7
"292",2017,"Bonfim",6950,14.39,569.35,1404.13,2.26
"293",2017,"Prata",27518,36.34,538.79,1764.33,6.13
"294",2017,"Conceição das Pedras",2829,35.34,515.36,1530.1,9.68
"295",2017,"Carbonita",9449,31.75,546.84,1383.38,3.44
"296",2017,"Inhapim",24544,24.45,434.51,1523.11,3.71
"297",2017,"Perdões",21230,9.42,531.94,1686.18,0.44
"298",2017,"São Tomé das Letras",7035,14.21,486.25,1443.07,39.54
"299",2017,"Madre de Deus de Minas",5102,19.6,600.25,1454.28,7.62
"300",2017,"Rio Casca",13989,35.74,728.73,1438.1,12.31
"301",2017,"Santa Rita do Sapucaí",41901,4.77,465.48,2229.36,54.53
"302",2017,"Francisco Sá",26164,3.82,398.97,1399.94,13.07
"303",2017,"São Sebastião do Anta",6355,47.21,891.02,1466.59,3.07
"304",2017,"Vargem Alegre",6566,15.23,389.3,1358.01,3.09
"305",2017,"Boa Esperança",40125,7.48,504.82,1568.62,2.06
"306",2017,"Formoso",9201,10.87,627.54,1819.11,15.33
"307",2017,"Comercinho",7523,26.58,640.4,1501.51,2.69
"308",2017,"Lagoa Grande",9346,32.1,507.31,1794.36,9.62
"309",2017,"Santa Efigênia de Minas",4541,22.02,480.7,1425.03,2.95
"310",2017,"Bambuí",23778,12.62,447.04,2006.43,4.29
"311",2017,"Juvenília",5802,17.24,667.53,1269.54,5.4
"312",2017,"Divinolândia de Minas",7484,13.36,550.57,1255.8,2.37
"313",2017,"Fronteira",16902,11.83,668.62,2236.49,7.06
"314",2017,"Espinosa",31892,9.41,452.21,1275.18,1.85
"315",2017,"Dionísio",8204,36.57,401.64,1269.61,3.44
"316",2017,"São Francisco do Glória",5034,39.73,600.19,1505.67,12.62
"317",2017,"Nanuque",41370,55.6,298.71,1631.45,0.32
"318",2017,"Raul Soares",24125,20.73,304.56,1751.91,4.64
"319",2017,"Marilac",4212,23.74,748.32,1448.98,4.18
"320",2017,"Bias Fortes",3577,27.96,480.3,1506.32,0.02
"321",2017,"Passos",113315,8.82,425.09,1764.26,5.54
"322",2017,"Felício dos Santos",4962,20.15,662.34,1467.42,2.93
"323",2017,"Campanário",3720,26.89,851.61,1344.66,3.46
"324",2017,"São João das Missões",12734,31.41,412.52,1525.34,5.95
"325",2017,"Fronteira dos Vales",4686,21.34,583,1284.02,2.19
"326",2017,"Frutal",58183,20.62,673.6,1969.79,15.58
"327",2017,"Itinga",14996,40.01,517.52,1878.09,2.18
"328",2017,"Serra do Salitre",11376,17.58,861.36,2031.24,3.88
"329",2017,"Icaraí de Minas",11717,8.53,444.63,1413.82,0.26
"330",2017,"Bicas",14400,6.94,457.85,1265.28,5.43
"331",2017,"Ipatinga",258592,9.28,512.23,2187.89,1.73
"332",2017,"Carmo da Mata",11444,17.48,394.2,1698.16,2.27
"333",2017,"São Sebastião do Maranhão",10406,28.83,515.82,1485.03,2.64
"334",2017,"Águas Formosas",19222,10.4,427.52,1595.28,5.89
"335",2017,"Santa Fé de Minas",3945,25.35,586.78,1342.06,4.24
"336",2017,"São Joaquim de Bicas",29859,107.17,549.06,2037.34,0.72
"337",2017,"Rio Doce",2597,38.51,1440.14,1847.09,8.73
"338",2017,"Santos Dumont",47086,6.37,392.97,1772.48,1.72
"339",2017,"Esmeraldas",68321,46.84,580.85,1807.65,0.73
"340",2017,"Itanhandu",15137,13.21,486.69,1666.22,4.66
"341",2017,"Carangola",33224,12.04,350.35,1510.08,3.22
"342",2017,"São José do Mantimento",2759,36.24,779.46,1429.93,27.23
"343",2017,"Pará de Minas",91813,14.16,416.37,1756.85,3.04
"344",2017,"Manga",19179,26.07,655.82,1356.97,10.19
"345",2017,"Couto de Magalhães de Minas",4400,22.73,857.62,1396.54,6.27
"346",2017,"Berilo",12237,8.17,457.84,1486.84,2.58
"347",2017,"Santa Luzia",216709,24,403.87,2267.23,25.68
"348",2017,"Itaú de Minas",15921,6.28,820.68,2091.47,3.58
"349",2017,"Urucânia",10483,19.08,505.99,1614.4,10.7
